"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"BSNL","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","13.93671204","75.54823851","Karnataka"
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA"
"VI","Indoor","4G","4","Satisfactory","12.94031593","79.16901672","Tamil Nadu"
"RJio","Indoor","4G","1","Call Dropped","31.6121534","76.9216315","Himachal Pradesh"
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Call Dropped","31.6121534","76.9216315","Himachal Pradesh"
"VI","Indoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Outdoor","4G","1","Call Dropped","10.82189","77.17312","Tamil Nadu"
"RJio","Indoor","4G","2","Poor Voice Quality","26.3164787","73.0611019","Rajasthan"
"VI","Travelling","4G","3","Poor Voice Quality","21.1231862","79.0678982","Maharashtra"
"BSNL","Indoor","Unknown","1","Call Dropped","25.5907253","85.1485285","Bihar"
"BSNL","Indoor","Unknown","1","Call Dropped","25.5907253","85.1485285","Bihar"
"BSNL","Indoor","Unknown","1","Call Dropped","25.5907253","85.1485285","Bihar"
"BSNL","Indoor","Unknown","2","Poor Voice Quality","23.58787333","87.20104167","West Bengal"
"VI","Indoor","4G","2","Poor Voice Quality","23.58787333","87.20104167","West Bengal"
"Airtel","Outdoor","4G","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","4G","4","Satisfactory","13.93679766","75.54823954","Karnataka"
"VI","Outdoor","3G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Indoor","Unknown","1","Call Dropped","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
